,Date,Open,High,Low,Close,Adjusted_Close,Volume
0,2021-02-19,795,796.789978,777.369995,781.299988,781.299988,18958300
1,2021-02-22,762.640015,768.5,710.200012,714.5,714.5,37269700
2,2021-02-23,662.130005,713.609985,619,698.840027,698.840027,66606900
3,2021-02-24,711.849976,745,694.169983,742.02002,742.02002,36767000
4,2021-02-25,726.150024,737.210022,670.580017,682.219971,682.219971,39023900
5,2021-02-26,700,706.700012,659.51001,675.5,675.5,41089200
6,2021-03-01,690.109985,719,685.049988,718.429993,718.429993,27136200
7,2021-03-02,718.280029,721.109985,685,686.440002,686.440002,23732200
8,2021-03-03,687.98999,700.700012,651.710022,653.200012,653.200012,30208000
9,2021-03-04,655.799988,668.450012,600,621.440002,621.440002,65919500
10,2021-03-05,626.059998,627.840027,539.48999,597.950012,597.950012,89396500
11,2021-03-08,600.549988,620.130005,558.789978,563,563,51787000
12,2021-03-09,608.179993,678.090027,595.210022,673.580017,673.580017,67523300
13,2021-03-10,700.299988,717.849976,655.059998,668.059998,668.059998,60605700
14,2021-03-11,699.400024,702.5,677.179993,699.599976,699.599976,36253900
15,2021-03-12,670,694.880005,666.140015,693.72998,693.72998,33583800
16,2021-03-15,694.090027,713.179993,684.039978,707.940002,707.940002,29335600
17,2021-03-16,703.349976,707.919983,671,676.880005,676.880005,32195700
18,2021-03-17,656.869995,703.72998,651.01001,701.809998,701.809998,40372500
19,2021-03-18,684.289978,689.22998,652,653.159973,653.159973,33224800
20,2021-03-19,646.599976,657.22998,624.619995,654.869995,654.869995,42894000
21,2021-03-22,684.590027,699.619995,668.75,670,670,39512200
22,2021-03-23,675.77002,677.799988,657.51001,662.159973,662.159973,30491900
23,2021-03-24,667.909973,668.02002,630.109985,630.27002,630.27002,33795200
24,2021-03-25,613,645.5,609.5,640.390015,640.390015,39224900
25,2021-03-26,641.869995,643.820007,599.890015,618.710022,618.710022,33852800
26,2021-03-29,615.640015,616.47998,596.02002,611.289978,611.289978,28637000
27,2021-03-30,601.75,637.659973,591.01001,635.619995,635.619995,39432400
28,2021-03-31,646.619995,672,641.109985,667.929993,667.929993,33337300
29,2021-04-01,688.369995,692.419983,659.419983,661.75,661.75,35298400
30,2021-04-05,707.710022,708.159973,684.700012,691.049988,691.049988,41842800
31,2021-04-06,690.299988,696.549988,681.369995,691.619995,691.619995,28271800
32,2021-04-07,687,691.380005,667.840027,670.969971,670.969971,26309400
33,2021-04-08,677.380005,689.549988,671.650024,683.799988,683.799988,23924300
34,2021-04-09,677.77002,680.969971,669.429993,677.02002,677.02002,21437100
35,2021-04-12,685.700012,704.799988,682.090027,701.97998,701.97998,29135700
36,2021-04-13,712.700012,763,710.659973,762.320007,762.320007,44652800
37,2021-04-14,770.700012,780.789978,728.030029,732.22998,732.22998,49017400
38,2021-04-15,743.099976,743.690002,721.309998,738.849976,738.849976,27848900
39,2021-04-16,728.650024,749.409973,724.599976,739.780029,739.780029,27979500
40,2021-04-19,719.599976,725.400024,691.799988,714.630005,714.630005,39686200
41,2021-04-20,717.419983,737.25,710.690002,718.98999,718.98999,35609000
42,2021-04-21,704.77002,744.840027,698,744.119995,744.119995,31215500
43,2021-04-22,741.5,753.77002,718.039978,719.690002,719.690002,35590300
44,2021-04-23,719.799988,737.359985,715.460022,729.400024,729.400024,28370000
45,2021-04-26,741,749.299988,732.609985,738.200012,738.200012,31038500
46,2021-04-27,717.960022,724,703.349976,704.73999,704.73999,29437000
47,2021-04-28,696.409973,708.5,693.599976,694.400024,694.400024,22271000
48,2021-04-29,699.51001,702.25,668.5,677,677,28845400
49,2021-04-30,667.590027,715.469971,666.140015,709.440002,709.440002,40758700
50,2021-05-03,703.799988,706,680.5,684.900024,684.900024,27043100
51,2021-05-04,678.940002,683.450012,657.700012,673.599976,673.599976,29739300
52,2021-05-05,681.059998,685.299988,667.340027,670.940002,670.940002,21901900
53,2021-05-06,680.76001,681.02002,650,663.539978,663.539978,27784600
54,2021-05-07,665.799988,690,660.219971,672.369995,672.369995,23469200
55,2021-05-10,664.900024,665.049988,627.609985,629.039978,629.039978,31392400
56,2021-05-11,599.23999,627.099976,595.599976,617.200012,617.200012,46503900
57,2021-05-12,602.48999,620.409973,586.77002,589.890015,589.890015,33823600
58,2021-05-13,601.539978,606.460022,559.650024,571.690002,571.690002,44184900
59,2021-05-14,583.409973,592.869995,570.460022,589.73999,589.73999,33370900
60,2021-05-17,575.549988,589.72998,561.200012,576.830017,576.830017,32390400
61,2021-05-18,568,596.25,563.380005,577.869995,577.869995,36830600
62,2021-05-19,552.549988,566.210022,546.97998,563.460022,563.460022,39578400
63,2021-05-20,575,588.849976,571.070007,586.780029,586.780029,30821100
64,2021-05-21,596.109985,596.679993,580,580.880005,580.880005,26030600
65,2021-05-24,581.599976,614.47998,573.650024,606.440002,606.440002,34558100
66,2021-05-25,607.309998,613.98999,595.710022,604.690002,604.690002,28005900
67,2021-05-26,607.559998,626.169983,601.5,619.130005,619.130005,28639300
68,2021-05-27,620.23999,631.130005,616.210022,630.849976,630.849976,26370600
69,2021-05-28,628.5,635.590027,622.380005,625.219971,625.219971,22737000
70,2021-06-01,627.799988,633.799988,620.549988,623.900024,623.900024,18084900
71,2021-06-02,620.130005,623.359985,599.140015,605.119995,605.119995,23302800
72,2021-06-03,601.799988,604.549988,571.219971,572.840027,572.840027,30111900
73,2021-06-04,579.710022,600.609985,577.200012,599.049988,599.049988,24036900
74,2021-06-07,591.830017,610,582.880005,605.130005,605.130005,22543700
75,2021-06-08,623.01001,623.090027,595.5,603.590027,603.590027,26053400
76,2021-06-09,602.169983,611.789978,597.630005,598.780029,598.780029,16584600
77,2021-06-10,603.880005,616.590027,600.5,610.119995,610.119995,23919600
78,2021-06-11,610.22998,612.559998,601.52002,609.890015,609.890015,16205300
79,2021-06-14,612.22998,625.48999,609.179993,617.690002,617.690002,20424000
80,2021-06-15,616.690002,616.789978,598.22998,599.359985,599.359985,17764100
81,2021-06-16,597.539978,608.5,593.5,604.869995,604.869995,22144100
82,2021-06-17,601.890015,621.469971,601.340027,616.599976,616.599976,22701400
83,2021-06-18,613.369995,628.349976,611.799988,623.309998,623.309998,24560900
84,2021-06-21,624.47998,631.390015,608.880005,620.830017,620.830017,24812700
85,2021-06-22,618.25,628.570007,615.5,623.710022,623.710022,19158900
86,2021-06-23,632,657.200012,630.039978,656.570007,656.570007,31099200
87,2021-06-24,674.98999,697.619995,667.609985,679.820007,679.820007,45982400
88,2021-06-25,689.580017,693.809998,668.700012,671.869995,671.869995,32496700
89,2021-06-28,671.640015,694.700012,670.320007,688.719971,688.719971,21628200
90,2021-06-29,684.650024,687.51001,675.890015,680.76001,680.76001,17381300
91,2021-06-30,679.77002,692.809998,678.140015,679.700012,679.700012,18924900
92,2021-07-01,683.919983,687.98999,672.799988,677.919983,677.919983,18634500
93,2021-07-02,678.97998,700,673.26001,678.900024,678.900024,27054500
94,2021-07-06,681.710022,684,651.400024,659.580017,659.580017,23284500
95,2021-07-07,664.27002,665.700012,638.320007,644.650024,644.650024,18792000
96,2021-07-08,628.369995,654.429993,620.460022,652.809998,652.809998,22773300
97,2021-07-09,653.179993,658.909973,644.690002,656.950012,656.950012,18140500
98,2021-07-12,662.200012,687.23999,662.159973,685.700012,685.700012,25927000
99,2021-07-13,686.320007,693.280029,666.299988,668.539978,668.539978,20966100
100,2021-07-14,670.75,678.609985,652.840027,653.380005,653.380005,21641200
101,2021-07-15,658.390015,666.140015,637.880005,650.599976,650.599976,20209600
102,2021-07-16,654.679993,656.700012,642.200012,644.219971,644.219971,16371000
103,2021-07-19,629.890015,647.200012,621.289978,646.219971,646.219971,21297100
104,2021-07-20,651.98999,662.390015,640.5,660.5,660.5,15487100
