,Date,Open,High,Low,Close,Adjusted_Close,Volume
0,2017-02-21,27.057501,27.807501,27.055,27.7675,27.406269,55195200
1,2017-02-22,27.855,27.950001,27.497499,27.690001,27.364267,43377200
2,2017-02-23,26.375,26.5975,24.92,25.122499,24.826973,159288800
3,2017-02-24,24.2675,25.5,23.924999,25.365,25.06662,102990400
4,2017-02-27,25.549999,26.254999,25.389999,26.102501,25.795441,71540000
5,2017-02-28,26.200001,26.299999,25.195,25.370001,25.071562,62536000
6,2017-03-01,25.9475,26.092501,25.2775,25.6975,25.395212,50480400
7,2017-03-02,25.567499,25.709999,24.7225,24.75,24.458857,75433200
8,2017-03-03,24.6425,24.692499,24.055,24.6075,24.318031,86469200
9,2017-03-06,24.24,24.525,23.7925,24.4175,24.130264,88356800
10,2017-03-07,24.4175,24.8825,24.2875,24.684999,24.394619,60340000
11,2017-03-08,25.174999,25.325001,24.6175,24.639999,24.350145,63871200
12,2017-03-09,24.477501,24.862499,24.35,24.635,24.345207,47806000
13,2017-03-10,24.9025,25.022499,24.594999,24.780001,24.488503,49974000
14,2017-03-13,24.885,25.5625,24.877501,25.4625,25.162971,77413600
15,2017-03-14,25.592501,25.6875,25.1175,25.445,25.145681,52201600
16,2017-03-15,25.5625,25.747499,25.08,25.637501,25.335918,61503600
17,2017-03-16,25.745001,25.9575,25.602501,25.952499,25.647209,52310000
18,2017-03-17,26.129999,26.530001,25.952499,26.5175,26.205563,111968800
19,2017-03-20,26.695,27.4025,26.532499,27.362499,27.040621,74856800
20,2017-03-21,27.1875,27.49,26.397499,26.477501,26.166031,91348400
21,2017-03-22,26.365,27.065001,26.325001,27.0175,26.699682,61676400
22,2017-03-23,26.9375,27.139999,26.674999,26.772499,26.457565,53394000
23,2017-03-24,27.2425,27.3225,26.605,26.8675,26.551445,43950000
24,2017-03-27,26.395,27.102501,25.895,27.0625,26.744156,50664400
25,2017-03-28,27.075001,27.2225,26.817499,26.922501,26.605797,43244400
26,2017-03-29,26.997499,27.122499,26.8125,26.834999,26.519325,34999200
27,2017-03-30,26.907499,27.5,26.85,27.35,27.028273,52553200
28,2017-03-31,27.252501,27.4725,27.1,27.2325,26.912155,44080800
29,2017-04-03,27.237499,27.4125,26.855,27.094999,26.776268,44523200
30,2017-04-04,25.85,26.105,25.084999,25.195,24.898623,127128000
31,2017-04-05,25.004999,25.592501,24.875,25.0075,24.713324,74704800
32,2017-04-06,25.059999,25.3125,24.602501,25.190001,24.893675,63512000
33,2017-04-07,25.254999,25.432501,24.93,25.0825,24.787443,42906800
34,2017-04-10,25.09,25.157499,24.4,24.442499,24.154972,75633200
35,2017-04-11,24.137501,24.725,24.0875,24.530001,24.241442,61814800
36,2017-04-12,24.530001,24.674999,24.275,24.327499,24.041328,41409200
37,2017-04-13,24.0825,24.3025,23.872499,23.872499,23.591677,50689200
38,2017-04-17,24.002501,24.809999,23.950001,24.807501,24.515676,49729200
39,2017-04-18,24.6625,24.885,24.4,24.8225,24.530497,37011600
40,2017-04-19,25,25.245001,24.852501,24.92,24.626852,38082800
41,2017-04-20,25.067499,25.362499,24.852501,25.315001,25.017212,40401600
42,2017-04-21,25.209999,25.4475,25.09,25.42,25.120974,34189600
43,2017-04-24,25.74,25.870001,25.5275,25.737499,25.434738,37182000
44,2017-04-25,25.885,26.3325,25.6675,26.184999,25.876976,38844000
45,2017-04-26,26.3225,26.3475,25.985001,26.004999,25.699091,32700400
46,2017-04-27,26.08,26.495001,25.897499,26.41,26.099329,31970000
47,2017-04-28,26.34,26.41,26.0175,26.075001,25.768265,34824800
48,2017-05-01,26.184999,26.7125,26.112499,26.66,26.346388,30773200
49,2017-05-02,26.387501,26.4,25.639999,25.870001,25.56568,62997200
50,2017-05-03,25.799999,26.16,25.65,26.0625,25.755915,33690400
51,2017-05-04,26.125,26.237499,25.8825,25.9625,25.657085,20978800
52,2017-05-05,25.844999,26.0375,25.6875,25.965,25.659561,22842800
53,2017-05-08,26.084999,26.1,25.577499,25.692499,25.390268,36524000
54,2017-05-09,25.75,26.2325,25.665001,25.735001,25.432268,84767200
55,2017-05-10,28.5725,30.455,28.504999,30.3225,29.965803,212909600
56,2017-05-11,30.012501,32.607498,29.977501,31.625,31.252979,193979200
57,2017-05-12,31.657499,32.400002,31.445,31.9725,31.596394,96262000
58,2017-05-15,32.389999,33.602501,32.345001,33.577499,33.182514,108754000
59,2017-05-16,34.095001,34.360001,33.34,34.202499,33.800167,112070000
60,2017-05-17,33.525002,33.715,31.887501,31.93,31.554398,127136800
61,2017-05-18,32.375,33.357498,31.762501,33.267502,32.87616,115603200
62,2017-05-19,34.2575,34.555,33.805,34,33.635429,101837200
63,2017-05-22,34.442501,34.869999,34.3325,34.724998,34.352657,83660800
